Name,Team,Pos,YDS,TD,INT,YPA,ATT,YDS.1,AVG,TD.1,REC,YDS.2,AVG.1,TD.2,YDS.3,TD.3,YDS.4,TD.4,Health_Risk,Previous_Points,Age,Dynasty_Age_Factor,Targets,Snap_Pct,Points,Rank,Tier,Overall_Rank
jayden daniels,WAS,QB,3726.0,26.0,11.0,7.6,136.0,755.0,5.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,364.8,24.0,1.05,0,0,355.9080000000001,1.0,1.0,1
joe burrow,CIN,QB,4415.0,34.0,11.0,7.4,43.0,159.0,3.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,381.8,28.0,0.85,0,0,337.83250000000004,2.0,1.0,2
bo nix,DEN,QB,3807.0,27.0,12.0,7.1,82.0,402.0,4.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,328.2,25.0,1.0,0,0,329.81999999999994,3.0,1.0,3
c.j. stroud,HOU,QB,3929.0,27.0,12.0,7.4,46.0,196.0,4.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,232.4,23.0,1.1,0,0,327.9815,4.0,1.0,4
brock purdy,SF,QB,4055.0,28.0,12.0,8.0,60.0,252.0,4.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,278.9,25.0,1.0,0,0,323.51249999999993,5.0,1.0,5
lamar jackson,BAL,QB,3619.0,30.0,9.0,8.2,129.0,760.0,5.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,434.4,28.0,0.85,0,0,321.99274999999994,6.0,2.0,6
caleb williams,CHI,QB,3633.0,23.0,12.0,7.0,70.0,384.0,5.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,260.5,23.0,1.1,0,0,312.77675,7.0,2.0,7
ja'marr chase,CIN,WR,0.0,0.0,0.0,0.0,3.0,17.0,5.7,0.0,112.0,1403.0,12.5,11.0,0.0,0.0,0.0,0.0,1.0,276.0,25.0,1.0,0,0,305.61,1.0,1.0,8
aaron rodgers,PIT,QB,3710.0,23.0,11.0,6.9,27.0,101.0,3.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,267.6,,1.0,0,0,291.45,8.0,2.0,9
drake maye,NE,QB,3528.0,23.0,13.0,7.0,84.0,455.0,5.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,187.1,22.0,1.15,0,0,289.10137499999996,9.0,2.0,10
jordan love,GB,QB,3907.0,26.0,12.0,7.5,35.0,166.0,4.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,244.9,26.0,0.95,0,0,283.6533749999999,10.0,2.0,11
josh allen,BUF,QB,3777.0,27.0,11.0,7.6,98.0,504.0,5.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,385.0,29.0,0.8,0,0,281.4560000000001,11.0,3.0,12
justin herbert,LAC,QB,3735.0,25.0,9.0,7.3,58.0,254.0,4.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,288.4,27.0,0.9,0,0,279.5625,12.0,3.0,13
jalen hurts,PHI,QB,3314.0,21.0,9.0,7.5,152.0,535.0,3.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,320.1,26.0,0.95,0,0,279.088625,13.0,3.0,14
baker mayfield,TB,QB,4009.0,31.0,13.0,7.3,51.0,235.0,4.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,381.8,30.0,0.75,0,0,276.93,14.0,3.0,15
patrick mahomes,KC,QB,4213.0,31.0,12.0,7.1,51.0,271.0,5.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,293.0,29.0,0.8,0,0,275.864,15.0,3.0,16
jared goff,DET,QB,4231.0,32.0,11.0,8.0,31.0,63.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,335.5,30.0,0.75,0,0,274.98562499999997,16.0,4.0,17
malik nabers,NYG,WR,0.0,0.0,0.0,0.0,6.0,32.0,5.3,0.0,100.0,1205.0,12.1,7.0,0.0,0.0,0.0,0.0,1.0,164.6,22.0,1.15,0,0,268.0995,2.0,1.0,18
kyler murray,ARI,QB,3612.0,21.0,11.0,7.0,86.0,488.0,5.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,308.2,27.0,0.9,0,0,266.6205,17.0,4.0,19
bryce young,CAR,QB,3413.0,21.0,12.0,6.8,57.0,297.0,5.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,204.0,24.0,1.05,0,0,260.87775,18.0,4.0,20
sam darnold,SEA,QB,3677.0,22.0,14.0,6.9,48.0,201.0,4.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,320.0,28.0,0.85,0,0,256.01574999999997,19.0,4.0,21
justin jefferson,MIN,WR,0.0,0.0,0.0,0.0,2.0,13.0,6.5,0.0,99.0,1411.0,14.3,8.0,0.0,0.0,0.0,0.0,1.0,214.5,26.0,0.95,0,0,252.71899999999997,3.0,1.0,22
amon-ra st. brown,DET,WR,0.0,0.0,0.0,0.0,2.0,12.0,6.0,0.0,103.0,1191.0,11.6,8.0,0.0,0.0,0.0,0.0,1.0,201.2,25.0,1.0,0,0,249.42999999999998,4.0,1.0,23
tua tagovailoa,MIA,QB,3832.0,25.0,12.0,7.3,26.0,71.0,2.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,188.6,27.0,0.9,0,0,244.21049999999997,20.0,4.0,24
ladd mcconkey,LAC,WR,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,88.0,1114.0,12.7,7.0,0.0,0.0,19.0,0.0,1.0,158.9,23.0,1.1,0,0,238.315,5.0,1.0,25
brock bowers,LV,TE,0.0,0.0,0.0,0.0,3.0,16.0,5.3,0.0,95.0,1002.0,10.5,6.0,0.0,0.0,0.0,0.0,1.0,150.7,22.0,1.15,0,0,238.10749999999993,1.0,1.0,26
drake london,ATL,WR,0.0,0.0,0.0,0.0,2.0,11.0,5.5,0.0,91.0,1131.0,12.4,7.0,0.0,0.0,0.0,0.0,1.0,180.8,24.0,1.05,0,0,237.8355,6.0,2.0,27
puka nacua,LAR,WR,0.0,0.0,0.0,0.0,13.0,75.0,5.8,1.0,97.0,1237.0,12.8,7.0,0.0,0.0,0.0,0.0,1.0,127.6,24.0,1.05,0,0,233.2785,7.0,2.0,28
j.j. mccarthy,MIN,QB,3810.0,26.0,13.0,7.2,75.0,330.0,4.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,1.15,0,0,231.83999999999995,21.0,5.0,29
ceedee lamb,DAL,WR,0.0,0.0,0.0,0.0,14.0,81.0,5.8,1.0,104.0,1225.0,11.8,8.0,0.0,0.0,0.0,0.0,1.0,162.4,26.0,0.95,0,0,228.82649999999995,8.0,2.0,30
nico collins,HOU,WR,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,89.0,1296.0,14.6,9.0,0.0,0.0,0.0,0.0,1.0,142.6,26.0,0.95,0,0,221.92,9.0,2.0,31
marvin harrison,ARI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1034.0,14.4,7.0,0.0,0.0,0.0,0.0,1.0,134.5,22.0,1.15,0,0,221.40949999999998,10.0,2.0,32
jaxon smith-njigba,SEA,WR,0.0,0.0,0.0,0.0,6.0,28.0,4.7,0.0,85.0,933.0,11.0,6.0,0.0,0.0,0.0,0.0,1.0,153.0,23.0,1.1,0,0,215.501,11.0,3.0,33
brian thomas,JAX,WR,0.0,0.0,0.0,0.0,3.0,19.0,6.3,0.0,92.0,1269.0,13.8,8.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,1.15,0,0,214.85449999999997,12.0,3.0,34
anthony richardson,IND,QB,2647.0,15.0,11.0,6.9,117.0,651.0,5.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.4,23.0,1.1,0,0,210.42450000000002,22.0,5.0,35
jahmyr gibbs,DET,RB,0.0,0.0,0.0,0.0,235.0,1231.0,5.2,12.0,50.0,412.0,8.2,2.0,0.0,0.0,0.0,0.0,1.0,310.9,23.0,1.1,0,0,205.561,1.0,1.0,36
trevor lawrence,JAX,QB,3970.0,25.0,13.0,7.0,59.0,245.0,4.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,1.0,0,0,203.70000000000002,23.0,5.0,37
michael penix,ATL,QB,3610.0,23.0,12.0,6.9,46.0,198.0,4.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.1,25.0,1.0,0,0,203.5125,24.0,5.0,38
jordan addison,MIN,WR,0.0,0.0,0.0,0.0,4.0,20.0,5.0,0.0,71.0,932.0,13.1,6.0,0.0,0.0,0.0,0.0,1.0,149.5,23.0,1.1,0,0,203.489,13.0,3.0,39
trey mcbride,ARI,TE,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,96.0,982.0,10.2,6.0,0.0,0.0,0.0,0.0,1.0,138.8,25.0,1.0,0,0,202.77999999999997,2.0,1.0,40
geno smith,LV,QB,3674.0,22.0,13.0,7.0,47.0,198.0,4.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,281.0,34.0,0.7,0,0,201.75050000000002,25.0,5.0,41
