"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Xavier Woods","S","CAR","66","69","64","67","75","70","69","73","79","75","bye","74","80","58","73","70","77","79","1218","71.6"
"Mike Jackson Sr.","CB","CAR","66","69","64","67","75","70","56","73","79","75","bye","74","80","58","73","70","77","79","1205","70.9"
"Zaire Franklin","LB","IND","79","70","90","70","58","58","69","71","73","74","51","72","72","bye","63","61","56","69","1156","68.0"
"Nick Cross","S","IND","79","69","90","70","58","58","69","71","73","74","51","72","72","bye","63","61","56","69","1155","67.9"
"Quincy Williams","LB","NYJ","72","66","52","60","73","68","67","67","79","59","70","bye","64","71","81","51","70","68","1138","66.9"
"Devon Witherspoon","CB","SEA","69","66","54","52","70","65","66","69","77","bye","63","58","68","70","64","66","61","66","1104","64.9"
"Geno Stone","S","CIN","65","63","58","70","76","78","74","60","60","62","63","bye","69","60","60","65","60","60","1103","64.9"
"Tre'von Moehrig","S","LV","57","65","74","59","50","67","55","72","74","bye","68","68","71","62","58","67","60","74","1101","64.8"
"Jessie Bates III","S","ATL","68","71","74","74","53","66","60","73","77","53","60","bye","46","59","67","45","82","67","1095","64.4"
"Kaden Elliss","LB","ATL","68","71","74","74","53","66","60","70","76","53","62","bye","46","60","67","45","83","67","1095","64.4"
"Robert Spillane","LB","LV","57","65","74","59","63","67","55","71","56","bye","68","68","71","62","57","67","60","75","1095","64.4"
"Demario Davis","LB","NO","40","67","64","0","84","77","65","66","53","78","73","bye","56","78","78","69","77","67","1092","68.3"
"Patrick Queen","LB","PIT","56","61","46","66","76","63","56","72","bye","64","61","57","62","72","80","62","62","74","1090","64.1"
"A.J. Terrell Jr.","CB","ATL","68","71","73","68","53","66","60","73","73","53","61","bye","46","60","67","45","81","67","1085","63.8"
"Kerby Joseph","S","DET","75","48","59","89","bye","67","60","76","65","68","48","55","67","50","67","63","63","65","1085","63.8"
"Minkah Fitzpatrick","S","PIT","56","61","46","66","74","57","56","72","bye","64","61","58","62","72","80","62","62","74","1083","63.7"
"Julian Blackmon","S","IND","79","0","90","70","58","58","69","71","73","74","51","72","72","bye","60","61","56","69","1083","67.7"
"Julian Love","S","SEA","69","68","54","29","71","64","66","69","77","bye","63","58","68","71","61","64","61","66","1079","63.5"
"Germaine Pratt","LB","CIN","63","61","58","64","76","76","82","56","50","57","65","bye","69","60","70","63","50","58","1078","63.4"
"Lavonte David","LB","TB","58","85","68","57","86","61","59","54","85","64","bye","51","70","67","51","60","36","66","1078","63.4"
"Alontae Taylor","CB","NO","46","66","48","52","63","59","52","64","53","78","72","bye","56","78","78","69","75","67","1076","63.3"
"Bobby Wagner","LB","WAS","64","56","62","55","58","68","40","63","65","78","71","66","55","bye","55","74","64","78","1072","63.1"
"Quentin Lake","S","LAR","61","66","71","60","59","bye","79","50","80","53","76","73","70","60","54","69","79","10","1070","62.9"
"Xavier McKinney","S","GB","76","56","54","68","78","58","64","57","57","bye","72","43","71","80","56","43","72","62","1067","62.8"
"Budda Baker","S","ARI","62","44","66","72","64","73","66","65","68","58","bye","64","52","64","51","68","57","73","1067","62.8"
"Jamien Sherwood","LB","NYJ","32","54","51","58","71","68","68","65","78","58","69","bye","63","71","73","50","67","69","1065","62.6"
"Malik Hooker","S","DAL","72","54","63","66","58","57","bye","67","55","65","61","68","63","71","53","72","61","57","1063","62.5"
"Byron Murphy Jr.","CB","MIN","56","55","60","70","68","bye","57","72","54","44","56","75","82","63","56","64","63","65","1060","62.4"
"Frankie Luvu","LB","WAS","59","55","53","59","59","68","40","63","65","78","71","66","55","bye","55","74","64","75","1059","62.3"
"Tremaine Edmunds","LB","CHI","64","62","56","61","51","59","bye","74","58","64","46","71","70","61","77","65","52","65","1056","62.1"
