"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Joe Burrow","QB","CIN","51","64","62","67","67","53","55","55","73","82","82","bye","62","71","69","55","90","74","1132","66.6"
"Caleb Williams","QB","CHI","56","70","90","60","72","63","bye","63","74","60","72","76","67","49","64","64","61","62","1123","66.1"
"Baker Mayfield","QB","TB","62","48","57","77","53","77","82","73","55","61","bye","65","78","62","68","72","66","67","1123","66.1"
"Jared Goff","QB","DET","61","85","68","53","bye","57","57","42","57","65","63","72","70","80","79","65","71","68","1113","65.5"
"Sam Darnold","QB","MIN","55","54","61","68","72","bye","60","50","73","84","73","69","53","58","77","66","72","65","1110","65.3"
"Patrick Mahomes II","QB","KC","54","65","74","62","84","bye","70","72","85","68","55","74","71","69","67","74","62","0","1106","69.1"
"Bo Nix","QB","DEN","69","61","68","61","63","55","63","73","72","58","59","68","66","bye","63","64","60","65","1088","64.0"
"Geno Smith","QB","SEA","67","70","64","90","58","78","59","51","80","bye","60","64","64","64","35","64","52","55","1075","63.2"
"Lamar Jackson","QB","BAL","80","65","63","54","78","68","56","68","51","63","61","65","72","bye","49","62","52","67","1074","63.2"
"DJ Moore","WR","CHI","49","69","86","55","66","56","bye","60","73","58","68","75","65","48","58","61","58","61","1066","62.7"
"Kyler Murray","QB","ARI","61","60","59","59","58","58","54","66","55","52","bye","58","82","71","63","70","79","60","1065","62.6"
"Jayden Daniels","QB","WAS","59","71","59","72","58","59","10","74","62","64","66","70","83","bye","78","68","83","26","1062","62.5"
"Jerry Jeudy","WR","CLE","62","57","60","51","47","52","80","67","79","bye","62","48","78","66","59","60","77","56","1061","62.4"
"Ja'Marr Chase","WR","CIN","43","59","61","53","59","49","48","55","65","77","81","bye","60","66","67","50","88","73","1054","62.0"
"Justin Herbert","QB","LAC","57","69","36","56","bye","78","66","66","57","59","67","69","46","59","51","65","69","75","1045","61.5"
"Justin Jefferson","WR","MIN","46","38","57","61","69","bye","58","50","72","78","72","70","51","57","68","64","68","64","1043","61.4"
"C.J. Stroud","QB","HOU","79","62","54","75","68","63","64","71","79","68","64","56","63","bye","50","59","49","11","1035","60.9"
"Drake London","WR","ATL","56","59","61","55","73","67","65","62","11","78","45","bye","80","74","57","49","62","78","1032","60.7"
"Aaron Rodgers","QB","NYJ","38","57","73","74","72","63","57","62","58","58","51","bye","68","68","58","69","40","64","1030","60.6"
"Garrett Wilson","WR","NYJ","49","55","64","71","69","61","57","61","57","56","51","bye","66","67","57","69","52","63","1025","60.3"
"Matthew Stafford","QB","LAR","78","52","58","61","78","bye","55","72","77","70","52","64","56","77","65","52","57","0","1024","64.0"
"Amon-Ra St. Brown","WR","DET","60","79","65","47","bye","43","54","42","53","64","63","68","66","68","72","55","56","55","1010","59.4"
"Cole Kmet","TE","CHI","27","54","73","54","63","57","bye","49","63","56","70","76","66","49","62","57","57","61","994","58.5"
"Darnell Mooney","WR","ATL","53","61","57","54","85","67","64","58","57","77","34","bye","76","70","53","60","62","0","988","61.8"
"Tre Tucker","WR","LV","47","38","52","50","59","60","75","53","56","bye","58","69","66","59","64","68","69","41","984","57.9"
"Ray-Ray McCloud III","WR","ATL","30","61","58","55","85","58","64","55","52","77","58","bye","77","47","24","61","40","79","981","57.7"
"Josh Allen","QB","BUF","62","41","56","51","60","69","55","69","66","73","73","bye","43","60","70","59","60","1","968","56.9"
"Brock Bowers","TE","LV","41","43","42","48","55","50","66","53","55","bye","62","72","61","57","63","70","70","48","956","56.2"
"Rome Odunze","WR","CHI","43","66","89","47","60","53","bye","47","65","41","59","66","52","49","53","53","56","55","954","56.1"
"Jaxon Smith-Njigba","WR","SEA","53","58","56","76","51","73","51","42","71","bye","50","42","49","62","56","56","50","52","948","55.8"
"Brock Purdy","QB","SF","71","70","71","63","64","65","63","68","bye","64","63","0","48","57","54","64","59","0","944","62.9"
"Travis Kelce","TE","KC","48","59","57","54","65","bye","54","57","71","57","44","66","64","57","67","65","55","0","940","58.8"
"Courtland Sutton","WR","DEN","63","54","50","48","51","47","56","61","61","54","52","58","62","bye","57","58","56","48","936","55.1"
