"Team","WR Targets","WR %","RB Targets","RB %","TE Targets","TE %","Total Targets"
"Arizona Cardinals","250","47.8","95","18.2","178","34.0","523"
"Atlanta Falcons","367","68.1","85","15.8","87","16.1","539"
"Baltimore Ravens","238","52.1","81","17.7","138","30.2","457"
"Buffalo Bills","295","59.6","82","16.6","118","23.8","495"
"Carolina Panthers","341","66.3","90","17.5","83","16.1","514"
"Chicago Bears","380","72.1","77","14.6","70","13.3","527"
"Cincinnati Bengals","371","59.2","101","16.1","155","24.7","627"
"Cleveland Browns","381","60.1","87","13.7","166","26.2","634"
"Dallas Cowboys","397","64.1","86","13.9","136","22.0","619"
"Denver Broncos","359","65.5","117","21.4","72","13.1","548"
"Detroit Lions","309","59.5","110","21.2","100","19.3","519"
"Green Bay Packers","306","65.9","71","15.3","87","18.8","464"
"Houston Texans","341","62.5","94","17.2","111","20.3","546"
"Indianapolis Colts","351","71.5","65","13.2","75","15.3","491"
"Jacksonville Jaguars","302","57.9","83","15.9","137","26.2","522"
"Kansas City Chiefs","283","49.7","94","16.5","192","33.7","569"
"Las Vegas Raiders","281","47.5","112","19.0","198","33.5","591"
"Los Angeles Chargers","323","66.5","55","11.3","108","22.2","486"
"Los Angeles Rams","403","74.5","55","10.2","83","15.3","541"
"Miami Dolphins","286","50.4","131","23.1","151","26.6","568"
"Minnesota Vikings","315","60.8","86","16.6","117","22.6","518"
"New England Patriots","256","51.4","83","16.7","159","31.9","498"
"New Orleans Saints","238","46.0","135","26.1","144","27.9","517"
"New York Giants","402","72.6","88","15.9","64","11.6","554"
"New York Jets","366","62.1","115","19.5","108","18.3","589"
"Philadelphia Eagles","261","62.6","69","16.5","87","20.9","417"
"Pittsburgh Steelers","229","49.9","109","23.7","121","26.4","459"
"San Francisco 49ers","312","60.8","91","17.7","110","21.4","513"
"Seattle Seahawks","345","60.6","110","19.3","114","20.0","569"
"Tampa Bay Buccaneers","335","59.5","121","21.5","107","19.0","563"
"Tennessee Titans","282","55.7","95","18.8","129","25.5","506"
"Washington Commanders","315","62.6","79","15.7","109","21.7","503"
""
""
