"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Ja'Marr Chase","WR","CIN","6","5","7","6","12","6","6","11","11","17","13","bye","9","18","11","8","15","14","175","10.3"
"Malik Nabers","WR","NYG","7","18","12","15","-","-","8","13","11","10","bye","9","13","10","14","14","8","8","170","11.3"
"Drake London","WR","ATL","3","7","9","12","13","10","8","6","2","13","7","bye","16","10","3","8","13","18","158","9.3"
"Justin Jefferson","WR","MIN","6","7","8","8","14","bye","8","9","9","9","8","5","9","7","14","13","11","9","154","9.1"
"Garrett Wilson","WR","NYJ","11","6","9","8","23","10","9","8","10","6","8","bye","10","10","6","7","8","5","154","9.1"
"Brock Bowers","TE","LV","8","9","4","3","12","10","14","5","8","bye","16","10","14","5","6","13","7","9","153","9.0"
"CeeDee Lamb","WR","DAL","10","7","7","8","9","14","bye","17","12","10","12","12","6","7","13","8","-","-","152","10.1"
"Trey McBride","TE","ARI","9","6","6","-","9","8","7","11","4","5","bye","15","12","14","10","4","16","11","147","9.2"
"Jerry Jeudy","WR","CLE","8","6","7","9","3","3","6","8","11","bye","11","6","13","6","14","3","18","13","145","8.5"
"Davante Adams","WR","NYJ","6","12","9","-","-","-","9","6","11","13","7","bye","12","11","12","13","8","12","141","10.1"
"Amon-Ra St. Brown","WR","DET","6","18","8","6","bye","4","8","2","7","8","11","7","7","6","18","8","10","7","141","8.3"
"DJ Moore","WR","CHI","8","10","10","6","8","5","bye","4","9","6","7","7","16","8","8","10","8","10","140","8.2"
"Wan'Dale Robinson","WR","NYG","12","4","8","14","9","11","9","5","4","8","bye","5","2","11","9","12","6","11","140","8.2"
"Jaxon Smith-Njigba","WR","SEA","2","16","3","12","7","9","6","7","13","bye","11","7","4","5","12","12","6","5","137","8.1"
"Courtland Sutton","WR","DEN","12","4","11","9","5","6","0","11","10","9","8","10","9","bye","9","6","9","7","135","7.9"
"Travis Kelce","TE","KC","4","3","5","9","10","bye","5","12","16","12","4","8","13","6","8","7","11","-","133","8.3"
"Brian Thomas Jr.","WR","JAC","4","4","9","9","8","6","5","4","4","3","7","bye","10","12","14","13","10","11","133","7.8"
"Jakobi Meyers","WR","LV","3","5","9","10","9","-","-","7","11","bye","6","15","11","10","9","5","9","10","129","8.6"
"Tyreek Hill","WR","MIA","12","6","5","7","10","bye","2","9","5","4","8","6","9","14","7","7","9","3","123","7.2"
"Keenan Allen","WR","CHI","11","-","-","3","6","5","bye","7","10","6","8","15","8","5","13","13","8","3","121","8.1"
"Calvin Ridley","WR","TEN","7","6","3","3","bye","8","9","15","8","9","6","6","7","12","5","5","6","5","120","7.1"
"Terry McLaurin","WR","WAS","4","8","6","10","8","7","6","8","3","6","2","6","8","bye","10","6","7","12","117","6.9"
"Zay Flowers","WR","BAL","10","11","4","2","12","9","1","12","6","6","6","8","7","bye","7","8","5","2","116","6.8"
"Marvin Harrison Jr.","WR","ARI","3","8","11","6","7","2","6","7","5","5","bye","6","12","8","6","8","10","6","116","6.8"
"Jauan Jennings","WR","SF","5","4","12","6","4","5","-","-","bye","11","11","7","5","8","9","6","10","10","113","7.5"
"Ladd McConkey","WR","LAC","7","4","6","7","bye","8","7","6","7","2","9","6","12","-","7","6","10","8","112","7.0"
"Michael Pittman Jr.","WR","IND","8","7","5","9","8","5","5","6","4","-","8","7","7","bye","9","3","10","10","111","6.9"
"Jonnu Smith","TE","MIA","2","7","3","1","8","bye","7","6","6","4","8","11","11","4","11","6","4","12","111","6.5"
"Mike Evans","WR","TB","6","6","3","14","7","6","3","-","-","-","bye","6","12","5","11","8","9","14","110","7.9"
"Tee Higgins","WR","CIN","-","-","6","10","14","7","8","-","-","-","13","bye","10","5","8","11","12","5","109","9.1"
"DK Metcalf","WR","SEA","4","14","6","12","7","11","7","-","-","bye","9","5","9","6","3","7","3","5","108","7.2"
"Josh Downs","WR","IND","-","-","5","9","12","9","3","9","9","10","5","7","-","bye","8","4","4","13","107","7.6"
"Darnell Mooney","WR","ATL","3","7","8","6","16","5","8","6","9","9","4","bye","6","7","1","6","5","-","106","6.6"
"Puka Nacua","WR","LAR","4","-","-","-","-","bye","-","9","4","14","9","13","8","14","8","9","14","-","106","9.6"
"George Pickens","WR","PIT","7","4","7","11","7","8","9","5","bye","7","12","7","6","-","-","-","7","6","103","7.4"
"Elijah Moore","WR","CLE","6","8","3","1","4","1","6","12","9","bye","8","5","14","4","6","5","5","5","102","6.0"
"Rome Odunze","WR","CHI","4","5","11","3","6","2","bye","6","7","6","10","10","6","5","7","7","4","2","101","5.9"
"Khalil Shakir","WR","BUF","3","5","6","5","-","2","7","10","7","9","12","bye","7","8","7","6","6","-","100","6.7"
"Cooper Kupp","WR","LAR","21","6","-","-","-","bye","-","8","14","7","10","11","6","8","3","3","3","-","100","8.3"
"Jordan Addison","WR","MIN","4","-","-","4","8","bye","4","3","5","5","8","9","6","12","9","8","8","6","99","6.6"
"Nico Collins","WR","HOU","8","10","10","15","2","-","-","-","-","-","7","9","11","bye","6","10","6","5","99","8.3"
"Xavier Worthy","WR","KC","3","4","4","4","6","bye","8","8","2","4","5","6","7","6","11","11","9","0","98","5.8"
"A.J. Brown","WR","PHI","10","-","-","-","bye","9","5","6","4","7","8","7","6","4","11","15","5","-","97","7.5"
"Hunter Henry","TE","NE","3","12","3","3","4","5","9","6","8","4","9","8","9","bye","4","8","2","-","97","6.1"
"David Njoku","TE","CLE","5","-","-","-","3","7","14","7","7","bye","9","5","17","13","-","10","-","-","97","8.8"
"George Kittle","TE","SF","5","8","-","4","12","6","7","7","bye","4","-","6","2","6","7","9","8","3","94","6.3"
"Quentin Johnston","WR","LAC","5","6","2","5","bye","4","-","-","5","2","8","5","4","7","10","6","8","14","91","6.1"
"Zach Ertz","TE","WAS","4","4","5","3","8","5","5","11","1","8","7","8","6","bye","2","2","7","5","91","5.4"
"Jameson Williams","WR","DET","9","11","3","2","bye","4","1","-","-","5","6","7","7","8","5","7","8","8","91","6.1"
"DeVonta Smith","WR","PHI","8","10","10","-","bye","4","2","7","6","3","6","-","-","6","12","8","7","-","89","6.8"
"Alvin Kamara","RB","NO","5","3","3","9","8","8","7","11","9","6","4","bye","6","5","5","-","-","-","89","6.4"
"DeMario Douglas","WR","NE","3","0","9","3","9","9","3","3","9","5","6","7","4","bye","3","5","5","4","87","5.1"
"Ray-Ray McCloud III","WR","ATL","7","5","3","7","9","4","4","3","3","4","6","bye","6","11","3","4","1","7","87","5.1"
"De'Von Achane","RB","MIA","7","7","5","3","1","bye","3","8","8","5","4","4","9","7","7","7","2","0","87","5.1"
